ID,Activities,TUCASEID,Info,Coord,Coord2
1,ST,352,1,0,0
2,ST,352,1,0,0
3,PC,352,1,0,0
4,PC,352,1,0,0
5,ST,352,1,0,0
6,PD,352,1,0,0
7,PC,352,1,0,0
8,PC,352,1,0,0
9,ST,352,1,0,0
10,PD,352,1,0,0
11,ST,352,1,0,0
12,PD,352,1,0,0
13,ST,352,1,0,0
14,ST,352,1,0,0
15,ST,352,1,0,0
16,ST,352,1,0,0
17,ST,352,1,0,0
18,PD,352,1,0,0
19,ST,352,1,0,0
20,ST,352,1,0,0
21,PD,352,1,0,0
22,PC,352,1,0,0
23,ST,352,1,0,0
24,ST,352,1,0,0
25,ST,352,1,0,0
26,PC,352,1,0,0
27,PD,352,1,0,0
28,ST,352,1,0,0
29,PC,352,1,0,0
30,ST,352,1,0,0
31,ST,352,1,0,0
32,ST,352,1,0,0
33,ST,352,1,0,0
34,ST,352,1,0,0
35,PD,352,1,0,0
36,ST,352,1,0,0
37,ST,352,1,0,0
38,ST,352,1,0,0
39,ST,352,1,0,0
40,PC,352,1,0,0
41,ST,352,1,0,0
42,ST,352,1,0,0
43,PC,352,1,0,0
44,ST,352,1,0,0
45,ST,352,1,0,0
46,PC,352,1,0,0
47,ST,352,1,0,0
48,ST,352,1,0,0
49,PC,352,1,0,0
50,ST,352,1,0,0
51,PC,352,1,0,0
52,ST,352,1,0,0
53,ST,352,1,0,0
54,PC,352,1,0,0
55,ST,352,1,0,0
56,PC,352,1,0,0
57,ST,352,1,0,0
58,ST,352,1,0,0
59,ST,352,1,0,0
60,ST,352,1,0,0
61,ST,352,1,0,0
62,ST,352,1,0,0
63,ST,352,1,0,0
64,PC,352,1,0,0
65,ST,352,1,0,0
66,ST,352,1,0,0
67,PD,352,1,0,0
68,PC,352,1,0,0
69,PC,352,1,0,0
70,PC,352,1,0,0
71,PC,352,1,0,0
72,ST,352,1,0,0
73,ST,352,1,0,0
74,ST,352,1,0,0
75,PC,352,1,0,0
76,PD,352,1,0,0
77,PC,352,1,0,0
78,PC,382,1,4,1
79,PD,382,1,4,1
80,ST,382,1,4,1
81,ST,382,1,4,1
82,ST,382,1,4,1
83,ST,382,1,4,1
84,PD,382,1,4,1
85,ST,382,1,4,1
86,ST,382,1,4,1
87,PD,382,1,4,1
88,ST,382,1,4,1
89,PC,382,1,4,1
90,ST,382,1,4,1
91,ST,382,1,4,1
92,ST,382,1,4,1
93,PC,382,1,4,1
94,ST,382,1,4,1
95,ST,382,1,4,1
96,ST,382,1,4,1
97,ST,382,1,4,1
98,ST,382,1,4,1
99,ST,382,1,4,1
100,ST,382,1,4,1
101,ST,382,1,4,1
102,ST,382,1,4,1
103,ST,382,1,4,1
104,ST,382,1,4,1
105,ST,382,1,4,1
106,PC,382,1,4,1
107,ST,382,1,4,1
108,ST,382,1,4,1
109,ST,382,1,4,1
110,ST,382,1,4,1
111,PC,382,1,4,1
112,ST,382,1,4,1
113,ST,382,1,4,1
114,ST,382,1,4,1
115,ST,382,1,4,1
116,ST,382,1,4,1
117,ST,382,1,4,1
118,ST,382,1,4,1
119,PD,382,1,4,1
120,ST,382,1,4,1
121,PD,382,1,4,1
122,ST,382,1,4,1
123,ST,382,1,4,1
124,ST,382,1,4,1
125,ST,382,1,4,1
126,ST,382,1,4,1
127,ST,382,1,4,1
128,ST,382,1,4,1
129,ST,382,1,4,1
130,ST,382,1,4,1
131,ST,382,1,4,1
132,ST,382,1,4,1
133,ST,382,1,4,1
134,ST,382,1,4,1
135,ST,382,1,4,1
136,PC,382,1,4,1
137,ST,382,1,4,1
138,ST,382,1,4,1
139,ST,382,1,4,1
140,ST,382,1,4,1
141,ST,382,1,4,1
142,PD,382,1,4,1
143,PC,382,1,4,1
144,ST,382,1,4,1
145,ST,382,1,4,1
146,ST,382,1,4,1
147,ST,382,1,4,1
148,ST,382,1,4,1
149,ST,382,1,4,1
150,ST,382,1,4,1
151,ST,382,1,4,1
152,PC,382,1,4,1
153,PC,382,1,4,1
154,PC,382,1,4,1
155,ST,382,1,4,1
156,ST,382,1,4,1
157,ST,382,1,4,1
158,PD,382,1,4,1
159,PC,382,1,4,1
160,PD,382,1,4,1
161,PC,382,1,4,1
162,ST,382,1,4,1
163,ST,382,1,4,1
164,ST,382,1,4,1
165,ST,382,1,4,1
166,ST,382,1,4,1
